id,domain,base,variant_topic_fronting,variant_emphasis_shift,reference_en,bleu_base_vs_topic,bleu_base_vs_emph,bertscore_base_vs_topic,bertscore_base_vs_emph,comet_base_vs_topic,comet_base_vs_emph
13,food,pasta thoda spicy bana dena,thoda spicy bana dena pasta,spicy bana dena pasta thoda,make pasta a little spicy,0.7071067811865478,0.49999999999999994,0.9151629209518433,0.9249078035354614,,
14,food,juice ka bill pay kar diya kya,bill pay kar diya kya juice ka,pay kar diya juice ka bill kya,Have you paid the juice bill?,0.7071067811865478,0.4272870063962342,0.9472333192825317,0.9485118389129639,,
15,food,biryani me raita include hota hai kya,raita include hota hai kya biryani me,include hota hai biryani me raita kya,Is raita included in biryani?,0.7071067811865478,0.4272870063962342,0.932643473148346,0.9489545226097107,,
16,food,cold coffee thodi kam sweet chahiye,kam sweet chahiye cold coffee thodi,chahiye cold coffee thodi kam sweet,Cold coffee should be a little less sweet,0.5081327481546147,0.7952707287670507,0.9330073595046997,0.9162827730178833,,
17,food,burger ke andar cheese extra daalna,cheese extra daalna burger ke andar,daalna cheese extra burger ke andar,putting extra cheese inside the burger,0.5081327481546147,0.39763536438352537,0.9405021667480469,0.9148017764091492,,
18,food,pani ka bottle cold hai kya,bottle cold hai kya pani ka,cold hai pani ka bottle kya,Is the water bottle cold?,0.6042750794713535,0.39763536438352537,0.9218623042106628,0.9320583939552307,,
19,food,dosa ka chutney thoda aur milega,chutney thoda aur milega dosa ka,milega dosa ka chutney thoda aur,You will get a little more chutney for dosa.,0.6042750794713535,0.7952707287670507,0.9170833826065063,0.9482734799385071,,
20,food,coffee ka order ready ho gaya,order ready ho gaya coffee ka,ready ho gaya coffee ka order,Coffee order is ready,0.6042750794713535,0.5081327481546147,0.9355902671813965,0.932023823261261,,
21,shopping,shirt ka size medium available hai,size medium available hai shirt ka,available hai shirt ka size medium,shirt ka size medium available hai,0.6042750794713535,0.6042750794713535,0.9319215416908264,0.9240133762359619,,
22,shopping,jeans ka rate thoda kam karo,rate thoda kam karo jeans ka,kam karo jeans ka rate thoda,reduce the price of jeans a little,0.6042750794713535,0.6042750794713535,0.9475831985473633,0.9359775185585022,,
23,shopping,shoes ka color black chahiye,color black chahiye shoes ka,chahiye shoes ka color black,The color of shoes should be black,0.49999999999999994,0.7071067811865478,0.9121736288070679,0.9109615087509155,,
24,shopping,bag me laptop fit ho jayega kya,laptop fit ho jayega kya bag me,fit ho jayega bag me laptop kya,Will the laptop fit in the bag?,0.7071067811865478,0.4272870063962342,0.9483587145805359,0.9192078709602356,,
25,shopping,discount coupon apply kar diya kya,coupon apply kar diya kya discount,apply kar diya discount coupon kya,Have you applied the discount coupon?,0.7952707287670507,0.39763536438352537,0.9665236473083496,0.9506060481071472,,
26,shopping,product ki quality check karni hai,quality check karni hai product ki,check karni hai product ki quality,Have to check the quality of the product,0.6042750794713535,0.5081327481546147,0.9362474083900452,0.9393364191055298,,
27,shopping,delivery ka status update aaya kya,status update aaya kya delivery ka,aaya kya delivery ka status update,Has the delivery status been updated?,0.6042750794713535,0.6042750794713535,0.9455338716506958,0.9130021333694458,,
28,shopping,bill me GST include hai kya,GST include hai kya bill me,include hai bill me GST kya,Is patrol included in the bill?,0.6042750794713535,0.39763536438352537,0.9354225397109985,0.9418761134147644,,
29,shopping,packing thodi strong kar dena,strong kar dena packing thodi,kar dena packing thodi strong,make the packing a little stronger,0.49999999999999994,0.49999999999999994,0.9415573477745056,0.9326193332672119,,
30,shopping,price list display nahi hui,display nahi hui price list,nahi hui price list display,price list display nahi hui,0.49999999999999994,0.49999999999999994,0.933673083782196,0.921886146068573,,
31,social,meeting ka link send kar do,link send kar do meeting ka,send kar do meeting ka link,send the meeting link,0.6042750794713535,0.5081327481546147,0.933687686920166,0.9249972701072693,,
32,social,party ka plan final hua kya,plan final hua kya party ka,final hua party ka plan kya,Is the party plan finalized?,0.6042750794713535,0.39763536438352537,0.9379435181617737,0.9498812556266785,,
33,social,message ka reply kyun nahi diya,reply kyun nahi diya message ka,kyun nahi diya message ka reply,Why did you not reply to the message?,0.6042750794713535,0.5081327481546147,0.9543003439903259,0.9338600635528564,,
34,social,call ka network issue ho raha,network issue ho raha call ka,ho raha call ka network issue,There is a call network issue,0.6042750794713535,0.6042750794713535,0.9344998002052307,0.9313796758651733,,
35,social,photo ka background change kar dena,background change kar dena photo ka,change kar dena photo ka background,background change.,0.6042750794713535,0.5081327481546147,0.9461073279380798,0.934938371181488,,
36,social,plan ka update batao jaldi,update batao jaldi plan ka,batao plan ka update jaldi,Please update your plan soon,0.49999999999999994,0.45180100180492244,0.9310967922210693,0.9261156916618347,,
37,social,time ka reminder lagana padega,reminder lagana padega time ka,lagana padega time ka reminder,You will have to set a time reminder,0.49999999999999994,0.49999999999999994,0.9392226338386536,0.915343701839447,,
38,social,friends ka group active nahi hai,group active nahi hai friends ka,active nahi hai friends ka group,Friends group is not active,0.6042750794713535,0.5081327481546147,0.9474613070487976,0.9402178525924683,,
39,social,birthday ka gift decide nahi hua,gift decide nahi hua birthday ka,decide nahi hua birthday ka gift,Birthday gift deed not done,0.6042750794713535,0.5081327481546147,0.9322716593742371,0.9381927847862244,,
40,social,plan me thoda change karna hoga,change karna hoga plan me thoda,karna hoga plan me thoda change,The plan will have to be changed a bit,0.5081327481546147,0.6042750794713535,0.9188939929008484,0.9120512008666992,,
41,work,report ka draft send karna hai,draft send karna hai report ka,send karna hai report ka draft,Draft report to be sent,0.6042750794713535,0.5081327481546147,0.942769467830658,0.9378349781036377,,
42,work,meeting ka agenda update karo,agenda update karo meeting ka,update karo meeting ka agenda,update meeting agenda,0.49999999999999994,0.49999999999999994,0.9266400933265686,0.9263900518417358,,
43,work,file ka backup rakh lena,backup rakh lena file ka,rakh lena file ka backup,back up files,0.49999999999999994,0.49999999999999994,0.939608633518219,0.9234427213668823,,
44,work,email ka attachment open nahi ho raha,attachment open nahi ho raha email ka,open nahi ho raha email ka attachment,Email attachments are not opening,0.7071067811865478,0.5946035575013604,0.9525651931762695,0.9422539472579956,,
45,work,task ka status confirm karna,status confirm karna task ka,confirm karna task ka status,Confirming task status,0.49999999999999994,0.49999999999999994,0.9278490543365479,0.9249919652938843,,
46,work,project ka timeline tight ho gaya,timeline tight ho gaya project ka,tight ho gaya project ka timeline,Project timeline became tight,0.6042750794713535,0.5081327481546147,0.9486567378044128,0.9418479204177856,,
47,work,laptop ka charger missing hai,charger missing hai laptop ka,missing hai laptop ka charger,Laptop charger is missing,0.49999999999999994,0.49999999999999994,0.923615574836731,0.916465699672699,,
48,work,code me error aa raha hai,error aa raha hai code me,aa raha hai code me error,There is an error in the code,0.6042750794713535,0.5081327481546147,0.9468466639518738,0.9396789073944092,,
49,work,work ka deadline kal hai,deadline kal hai work ka,kal hai work ka deadline,work deadline is tomorrow,0.49999999999999994,0.49999999999999994,0.924461305141449,0.9151141047477722,,
50,work,meeting ka link wrong tha,link wrong tha meeting ka,wrong tha meeting ka link,meeting ka link wrong tha,0.49999999999999994,0.49999999999999994,0.9079605937004089,0.8919942378997803,,
51,education,homework ka topic explain kar do,topic explain kar do homework ka,explain kar do homework ka topic,Explain the topic of homework,0.6042750794713535,0.5081327481546147,0.9219692945480347,0.9254497289657593,,
52,education,class ka schedule change ho gaya,schedule change ho gaya class ka,change ho gaya class ka schedule,class schedule changed,0.6042750794713535,0.5081327481546147,0.9432260394096375,0.9432313442230225,,
53,education,exam ka syllabus confirm karna hai,syllabus confirm karna hai exam ka,confirm karna hai exam ka syllabus,Exam syllabus to be confirmed,0.6042750794713535,0.5081327481546147,0.9326476454734802,0.9402925968170166,,
54,education,notes ka PDF share kar dena,PDF share kar dena notes ka,share kar dena notes ka PDF,share pdf of notes,0.6042750794713535,0.5081327481546147,0.9223612546920776,0.9281817674636841,,
55,education,lecture ka recording upload hua kya,recording upload hua kya lecture ka,upload hua lecture ka recording kya,Has the lecture recording been uploaded?,0.6042750794713535,0.39763536438352537,0.9413143992424011,0.9435142874717712,,
56,education,assignment ka deadline extend hoga,deadline extend hoga assignment ka,extend hoga assignment ka deadline,Assignment deadline will be extended,0.49999999999999994,0.49999999999999994,0.9279544353485107,0.9336561560630798,,
57,education,project ka topic finalize karte hain,topic finalize karte hain project ka,finalize karte hain project ka topic,Let's finalize the topic of the project,0.6042750794713535,0.5081327481546147,0.9468992948532104,0.9202085137367249,,
58,education,book ka chapter difficult lag raha,chapter difficult lag raha book ka,lag raha book ka chapter difficult,book ka chapter difficult lag raha,0.6042750794713535,0.6042750794713535,0.9478029012680054,0.9394345879554749,,
59,education,attendance ka criteria kya hai,criteria kya hai attendance ka,kya hai attendance ka criteria,What is the criteria for attendance?,0.49999999999999994,0.49999999999999994,0.933997392654419,0.9254468083381653,,
60,education,test ka result kab aayega,result kab aayega test ka,kab aayega test ka result,When will the test results come?,0.49999999999999994,0.49999999999999994,0.94517582654953,0.9346866607666016,,
61,household,room ka light off kar do,light off kar do room ka,off kar do room ka light,room ka light off kar do,0.6042750794713535,0.5081327481546147,0.9228359460830688,0.9252788424491882,,
62,household,kitchen ka slab clean karna hai,slab clean karna hai kitchen ka,clean karna hai kitchen ka slab,clean the clean ka karna.,0.6042750794713535,0.5081327481546147,0.9422814846038818,0.9338366985321045,,
63,household,fan ka speed increase kar do,speed increase kar do fan ka,increase kar do fan ka speed,fan ka speed increase kar do,0.6042750794713535,0.5081327481546147,0.940568745136261,0.936582624912262,,
64,household,bottle ka water fill kar do,water fill kar do bottle ka,fill kar do bottle ka water,can,0.6042750794713535,0.5081327481546147,0.9378569722175598,0.9315821528434753,,
65,household,AC ka temperature kam kar do,temperature kam kar do AC ka,kam kar do AC ka temperature,Clacing its culture,0.6042750794713535,0.5081327481546147,0.9451512694358826,0.9333048462867737,,
66,household,gate ka lock lagana mat bhoolna,lock lagana mat bhoolna gate ka,lagana mat bhoolna gate ka lock,Don't forget to lock the gate,0.6042750794713535,0.5081327481546147,0.956630527973175,0.9354842305183411,,
67,household,table ka cover change kar dena,cover change kar dena table ka,change kar dena table ka cover,change the table cover,0.6042750794713535,0.5081327481546147,0.9432666897773743,0.9350454211235046,,
68,household,clothes ka ironing karna hai,ironing karna hai clothes ka,karna hai clothes ka ironing,Irving of clothes is to be done,0.49999999999999994,0.49999999999999994,0.91607666015625,0.917533278465271,,
69,household,fridge ka door properly close karo,door properly close karo fridge ka,close karo fridge ka door properly,fridge ka door properly close karo,0.6042750794713535,0.6042750794713535,0.9379042387008667,0.9223807454109192,,
70,household,milk ka packet fridge me rakhna,packet fridge me rakhna milk ka,rakhna milk ka packet fridge me,keep milk packet in fridge,0.6042750794713535,0.7952707287670507,0.9432212114334106,0.8872369527816772,,
71,digital,phone ka storage full ho gaya,storage full ho gaya phone ka,full ho gaya phone ka storage,phone storage full,0.6042750794713535,0.5081327481546147,0.9387803673744202,0.9346583485603333,,
72,digital,app ka update install karna hai,update install karna hai app ka,install karna hai app ka update,Need to install an app update,0.6042750794713535,0.5081327481546147,0.9481185078620911,0.9414109587669373,,
73,digital,password ka reset option nahi mil raha,reset option nahi mil raha password ka,nahi mil raha password ka reset option,Can't find password reset option,0.7071067811865478,0.5946035575013604,0.9444435238838196,0.9307467341423035,,
74,digital,WiFi ka signal weak lag raha,signal weak lag raha WiFi ka,lag raha WiFi ka signal weak,Signal is a sign.,0.6042750794713535,0.6042750794713535,0.9492060542106628,0.9356412291526794,,
75,digital,phone ka hotspot on kar do,hotspot on kar do phone ka,on kar do phone ka hotspot,phone the hotspot on your phone,0.6042750794713535,0.5081327481546147,0.9241884350776672,0.9441381096839905,,
76,digital,laptop ka update pending hai,update pending hai laptop ka,pending hai laptop ka update,Laptop update is pending,0.49999999999999994,0.49999999999999994,0.911176860332489,0.9140110015869141,,
77,digital,screen ka brightness kam kar do,brightness kam kar do screen ka,kam kar do screen ka brightness,screen,0.6042750794713535,0.5081327481546147,0.9478601813316345,0.9366729855537415,,
78,digital,mic ka input detect nahi ho raha,input detect nahi ho raha mic ka,detect nahi ho raha mic ka input,Mitch's input not being detected,0.7071067811865478,0.5946035575013604,0.9434060454368591,0.9506125450134277,,
79,digital,speaker ka volume low hai,volume low hai speaker ka,low hai speaker ka volume,Speaker is speaker,0.49999999999999994,0.49999999999999994,0.9231206774711609,0.9186257123947144,,
80,digital,battery ka percentage kam ho raha,percentage kam ho raha battery ka,kam ho raha battery ka percentage,Battery percentage is decreasing,0.6042750794713535,0.5081327481546147,0.9476694464683533,0.9357098340988159,,
81,health,medicine ka dose kab lena hai,dose kab lena hai medicine ka,kab lena hai medicine ka dose,When to take medicine doses,0.6042750794713535,0.5081327481546147,0.9421761631965637,0.9390870332717896,,
82,health,doctor ka appointment confirm hua,appointment confirm hua doctor ka,confirm hua doctor ka appointment,doctor ka appointment confirm hua,0.49999999999999994,0.49999999999999994,0.933997392654419,0.9198650121688843,,
83,health,fever ka temperature check karo,temperature check karo fever ka,check karo fever ka temperature,"You have a fever, check your temperature",0.49999999999999994,0.49999999999999994,0.9333162307739258,0.9288191199302673,,
84,health,syrup ka spoon measure karna,spoon measure karna syrup ka,measure karna syrup ka spoon,spoon masher syrup,0.49999999999999994,0.49999999999999994,0.9204745888710022,0.925460159778595,,
85,health,prescription ka photo send kar do,photo send kar do prescription ka,send kar do prescription ka photo,send photo of prescription,0.6042750794713535,0.5081327481546147,0.9292965531349182,0.9230287671089172,,
86,health,pain ka reason samajh nahi aa raha,reason samajh nahi aa raha pain ka,samajh nahi aa raha pain ka reason,I don't understand the reason for the question.,0.7071067811865478,0.5946035575013604,0.9508392810821533,0.9334529042243958,,
87,health,BP ka reading high aa gaya,reading high aa gaya BP ka,high aa gaya BP ka reading,blood pressure reading is high,0.6042750794713535,0.5081327481546147,0.9115241169929504,0.9131149053573608,,
88,health,tablet ka effect slow hai,effect slow hai tablet ka,slow hai tablet ka effect,tablet ka effect slow hai,0.49999999999999994,0.49999999999999994,0.9234832525253296,0.9244866967201233,,
89,health,sugar ka test fasting me hota hai,test fasting me hota hai sugar ka,fasting me hota hai sugar ka test,Sugar is tested while fasting,0.7071067811865478,0.5946035575013604,0.9495063424110413,0.948209822177887,,
90,health,doctor ka clinic kis time open hota,clinic kis time open hota doctor ka,kis time open hota doctor ka clinic,What time is the doctor's clinic open?,0.7071067811865478,0.5946035575013604,0.9448966383934021,0.9287983775138855,,
91,transport,bus stop ka route map dikhana,route map dikhana bus stop ka,dikhana bus stop ka route map,show bus stop route map,0.5081327481546147,0.7952707287670507,0.9319283962249756,0.9179976582527161,,
92,transport,cab ka OTP enter kar do,OTP enter kar do cab ka,enter kar do cab ka OTP,enter cab number,0.6042750794713535,0.5081327481546147,0.917076826095581,0.9287039041519165,,
93,transport,road ka traffic heavy lag raha,traffic heavy lag raha road ka,lag raha road ka traffic heavy,road ka traffic heavy lag raha,0.6042750794713535,0.6042750794713535,0.9408533573150635,0.9359344244003296,,
94,transport,signal ka light green ho gaya,light green ho gaya signal ka,ho gaya signal ka light green,signal light turns green,0.6042750794713535,0.6042750794713535,0.9366113543510437,0.9238840937614441,,
95,transport,metro ka gate kis side hoga,gate kis side hoga metro ka,kis side hoga metro ka gate,Which side will the metro gate be on?,0.6042750794713535,0.5081327481546147,0.9447827935218811,0.9342437386512756,,
96,transport,cab ka driver close aa raha,driver close aa raha cab ka,aa raha cab ka driver close,cab driver coming close,0.6042750794713535,0.6042750794713535,0.9429417252540588,0.9296212196350098,,
97,transport,parking ka ticket lose mat karna,ticket lose mat karna parking ka,lose mat karna parking ka ticket,Don't lose your parking ticket.,0.6042750794713535,0.5081327481546147,0.9379040598869324,0.9315212368965149,,
98,transport,petrol ka price phir badh gaya,price phir badh gaya petrol ka,badh gaya petrol ka price phir,Petrol price increased again,0.6042750794713535,0.6042750794713535,0.9397277235984802,0.9197739958763123,,
99,transport,bike ka tyre flat ho gaya,tyre flat ho gaya bike ka,flat ho gaya bike ka tyre,bike tire went flat,0.6042750794713535,0.5081327481546147,0.9368671774864197,0.9369232654571533,,
100,transport,rickshaw ka turn galat lag raha,turn galat lag raha rickshaw ka,lag raha rickshaw ka turn galat,stalk,0.6042750794713535,0.6042750794713535,0.9212056398391724,0.9289725422859192,,
101,travel,train ka AC coach available hai kya,AC coach available hai kya train ka,available hai kya train ka AC coach,Is a train coach available?,0.7071067811865478,0.5946035575013604,0.9487820863723755,0.9334102272987366,,
102,travel,bus ka last stop kaha aata hai,last stop kaha aata hai bus ka,kaha aata hai bus ka last stop,Where is the last stop of the bus?,0.7071067811865478,0.5946035575013604,0.947717010974884,0.9320072531700134,,
103,travel,flight ka gate number announce hua,gate number announce hua flight ka,announce hua flight ka gate number,flight in gate number announce.,0.6042750794713535,0.6042750794713535,0.9245752692222595,0.9354634284973145,,
104,travel,cab ka pickup location change ho gaya,pickup location change ho gaya cab ka,change ho gaya cab ka pickup location,Cab's pichkoop location changed,0.7071067811865478,0.5946035575013604,0.9495173096656799,0.9379765391349792,,
105,travel,platform ka lift kaam nahi kar raha,lift kaam nahi kar raha platform ka,kaam nahi kar raha platform ka lift,platform lift not working,0.7071067811865478,0.5946035575013604,0.950079619884491,0.9359453320503235,,
106,food,restaurant ka waiting time zyada hai,waiting time zyada hai restaurant ka,zyada hai restaurant ka waiting time,Restaurant waiting time is long,0.6042750794713535,0.6042750794713535,0.9388335347175598,0.9157383441925049,,
107,food,starter ka portion thoda chhota hai,portion thoda chhota hai starter ka,thoda chhota hai starter ka portion,The starter portion is a bit small,0.6042750794713535,0.5081327481546147,0.9563870429992676,0.9431477189064026,,
108,food,menu ka digital version available hai,digital version available hai menu ka,available hai menu ka digital version,Digital version of menu available,0.6042750794713535,0.6042750794713535,0.9299794435501099,0.9237374067306519,,
109,food,dessert ka sugar level kam rakho,sugar level kam rakho dessert ka,kam rakho dessert ka sugar level,Keep the sugar level of dessert low,0.6042750794713535,0.6042750794713535,0.9353210926055908,0.9267584085464478,,
110,shopping,online order ka packing loose tha,packing loose tha online order ka,loose tha online order ka packing,online order ka packing loose tha,0.5081327481546147,0.6042750794713535,0.90218585729599,0.9227336645126343,,
111,shopping,wallet ka zip properly band nahi hua,zip properly band nahi hua wallet ka,band nahi hua wallet ka zip properly,Wallet zip lock not closed properly,0.7071067811865478,0.5946035575013604,0.9411419630050659,0.9303118586540222,,
112,shopping,online sale ka notification miss ho gaya,sale ka notification miss ho gaya online,miss ho gaya online sale ka notification,Missed online sale notification,0.8408964152537145,0.5946035575013604,0.9615706205368042,0.9393051266670227,,
113,shopping,payment ka transaction failed dikha raha,transaction failed dikha raha payment ka,failed dikha raha payment ka transaction,Payment transaction failure is showing,0.6042750794713535,0.5081327481546147,0.9559597969055176,0.9494690299034119,,
114,work,meeting ka room number update hua,room number update hua meeting ka,update hua meeting ka room number,meeting ka room number update hua,0.6042750794713535,0.6042750794713535,0.9214401245117188,0.9282606840133667,,
115,work,client ka feedback positive aa raha,feedback positive aa raha client ka,positive aa raha client ka feedback,Client feedback is coming positive,0.6042750794713535,0.5081327481546147,0.9415724277496338,0.9349216818809509,,
116,work,presentation ka slide order change karo,slide order change karo presentation ka,change karo presentation ka slide order,presentation ka slide order change karo,0.6042750794713535,0.6042750794713535,0.9348641037940979,0.9230995774269104,,
117,work,office ka printer jam ho gaya,printer jam ho gaya office ka,jam ho gaya office ka printer,office printer jammed,0.6042750794713535,0.5081327481546147,0.9508137106895447,0.9406769871711731,,
118,education,lecture ka audio clearly sunai nahi de raha,audio clearly sunai nahi de raha lecture ka,sunai nahi de raha lecture ka audio clearly,Audio of lecture is not heard clearly,0.7652058832556893,0.6914415692838819,0.9450640678405762,0.9287349581718445,,
119,education,assignment ka format properly follow karo,format properly follow karo assignment ka,follow karo assignment ka format properly,assignment ka format properly follow karo,0.6042750794713535,0.6042750794713535,0.9362114667892456,0.9295718669891357,,
120,education,exam ka seating arrangement change hua,seating arrangement change hua exam ka,change hua exam ka seating arrangement,exam and seating arrangement change result,0.6042750794713535,0.6042750794713535,0.9282388091087341,0.934978723526001,,
121,education,library ka reading room silent hona chahiye,reading room silent hona chahiye library ka,silent hona chahiye library ka reading room,Library reading rooms should be silent,0.7071067811865478,0.5946035575013604,0.946208119392395,0.9486376047134399,,
122,education,notes ka handwriting samajh nahi aa raha,handwriting samajh nahi aa raha notes ka,samajh nahi aa raha notes ka handwriting,Can't understand the handwriting of the notes,0.7071067811865478,0.5946035575013604,0.9621793627738953,0.9291935563087463,,
123,education,online class ka attendance mark hua,attendance mark hua online class ka,mark hua online class ka attendance,online class ka attendance mark hua,0.5081327481546147,0.6042750794713535,0.9030903577804565,0.9249320030212402,,
124,education,teacher ka feedback useful laga,feedback useful laga teacher ka,useful laga teacher ka feedback,"You are a teacher, feedback is useful",0.49999999999999994,0.49999999999999994,0.9193792939186096,0.9286327958106995,,
125,education,exam ka paper lengthy tha,paper lengthy tha exam ka,lengthy tha exam ka paper,examination,0.49999999999999994,0.49999999999999994,0.9161964058876038,0.9078970551490784,,
126,education,hostel ka wifi slow chal raha,wifi slow chal raha hostel ka,slow chal raha hostel ka wifi,Hostel wifi is slow,0.6042750794713535,0.5081327481546147,0.9108249545097351,0.9103103876113892,,
127,education,canteen ka menu update hua,menu update hua canteen ka,update hua canteen ka menu,Canteen menu updated,0.49999999999999994,0.49999999999999994,0.9209157228469849,0.898848295211792,,
128,education,assignment ka plagiarism check hua,plagiarism check hua assignment ka,check hua assignment ka plagiarism,assignment ka plagiarism check hua,0.49999999999999994,0.49999999999999994,0.8959886431694031,0.9133114218711853,,
129,education,class ka projector kaam nahi kar raha,projector kaam nahi kar raha class ka,kaam nahi kar raha class ka projector,class projector not working,0.7071067811865478,0.5946035575013604,0.9538070559501648,0.9407447576522827,,
130,education,syllabus ka revision plan bana lete hain,revision plan bana lete hain syllabus ka,bana lete hain syllabus ka revision plan,Make a revision plan for the syllabus,0.7071067811865478,0.5946035575013604,0.932208240032196,0.9280296564102173,,
131,household,room ka fan noise kar raha,fan noise kar raha room ka,noise kar raha room ka fan,The room fan is making noise,0.6042750794713535,0.5081327481546147,0.9377844333648682,0.9301578402519226,,
132,household,bathroom ka geyser warm nahi ho raha,geyser warm nahi ho raha bathroom ka,warm nahi ho raha bathroom ka geyser,Bathroom geyser is not getting warm,0.7071067811865478,0.5946035575013604,0.9269513487815857,0.9460873007774353,,
133,household,washing machine ka timer set karo,timer set karo washing machine ka,set karo washing machine ka timer,you have a washing machine with a timer set,0.5081327481546147,0.6042750794713535,0.9258047938346863,0.9182245135307312,,
134,household,balcony ka door properly band karo,door properly band karo balcony ka,band karo balcony ka door properly,ballo,0.6042750794713535,0.6042750794713535,0.9324407577514648,0.90357905626297,,
135,household,gas cylinder ka refill book kar do,refill book kar do gas cylinder ka,book kar do gas cylinder ka refill,gas cylinder ka refill book kar do,0.5946035575013604,0.5946035575013604,0.928399384021759,0.9330233931541443,,
136,household,clock ka alarm disable kar dena,alarm disable kar dena clock ka,disable kar dena clock ka alarm,Disable clock alarm,0.6042750794713535,0.5081327481546147,0.9501417279243469,0.9427492618560791,,
137,household,bed ka sheet wash karna reh gaya,sheet wash karna reh gaya bed ka,wash karna reh gaya bed ka sheet,B.Ed's sheets are left to wash,0.7071067811865478,0.5946035575013604,0.9490312933921814,0.9482540488243103,,
138,household,doorbell ka sound low lag raha,sound low lag raha doorbell ka,low lag raha doorbell ka sound,doorbell ka sound low lag raha,0.6042750794713535,0.5081327481546147,0.9158127903938293,0.9215123057365417,,
139,household,sofa ka cushion replace karna padega,cushion replace karna padega sofa ka,replace karna padega sofa ka cushion,sofa cushions need to be replaced,0.6042750794713535,0.5081327481546147,0.9475753903388977,0.943773090839386,,
140,household,table ka leg loose ho gaya,leg loose ho gaya table ka,loose ho gaya table ka leg,table with a loose leg to grind,0.6042750794713535,0.5081327481546147,0.9302777647972107,0.9216504096984863,,
141,digital,app ka login error baar baar aa raha,login error baar baar aa raha app ka,baar baar aa raha app ka login error,App login error keeps coming again and again,0.7652058832556893,0.6914415692838819,0.9542616605758667,0.9345279932022095,,
142,digital,phone ka camera focus nahi kar raha,camera focus nahi kar raha phone ka,focus nahi kar raha phone ka camera,phone camera not focusing,0.7071067811865478,0.5946035575013604,0.9504610896110535,0.9446991682052612,,
143,digital,system ka update automatically install hua,update automatically install hua system ka,automatically install hua system ka update,system ka update automatically install hua,0.6042750794713535,0.5081327481546147,0.9391459226608276,0.9236619472503662,,
144,digital,email ka spam filter strict ho gaya,spam filter strict ho gaya email ka,strict ho gaya email ka spam filter,Email spam filter becomes stricter,0.7071067811865478,0.5946035575013604,0.953134298324585,0.9498284459114075,,
145,digital,browser ka cache clear kar do,cache clear kar do browser ka,clear kar do browser ka cache,clear browser cache,0.6042750794713535,0.5081327481546147,0.9371570944786072,0.9381935000419617,,
146,digital,phone ka screen protector crack ho gaya,screen protector crack ho gaya phone ka,crack ho gaya phone ka screen protector,The phone's screen protector is cracked,0.7071067811865478,0.5946035575013604,0.9349781274795532,0.9413532614707947,,
147,digital,notification ka sound customize karna hai,sound customize karna hai notification ka,customize karna hai notification ka sound,Want to customize notification sound?,0.6042750794713535,0.5081327481546147,0.9394974112510681,0.9405133128166199,,
